;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
; This file is used to create translations using https://www.nexusmods.com/witcher3/mods/1055 all credits go to rmemr
;
2116568000||panel_Mods|Mods
2116568001||panel_QT_Name|Progress on the Path
2116568002||panel_glossary_potp_tutorial|Progress on the Path - Tutorials
2116568003||panel_glossary_potp_previews|Progress on the Path - Previews
;
2116568004||PotP_PreviewBook_Quest_Name|Quest Progress
2116568005||PotP_PreviewBook_World_Name|World Map Progress
2116568006||PotP_PreviewBook_Items_Name|Collectable Items Progress
2116568007||PotP_PreviewBook_Missa_Name|Missable Quest Progress
2116568008||PotP_PreviewBook_Gwent_Name|Gwent Card Progress
;
2116568009||PotP_InstallMessage|Thank you for installing Progress on the Path.<br/><br/>Please make sure to check the Glossary pages for helpful hints and tips about using the mod!
2116568010||PotP_UpdatedMessage|Mod Updated To Version: 
;
2116568011||PotP_Completed|Completed:
2116568012||PotP_NullMessage|Nothing To Update...
;
2116568013||PotP_NotificationHeader|Progress on the Path: 
2116568014||PotP_NotificationLine_Quest| Quest(DYNAMC_REPLACE)
2116568015||PotP_NotificationLine_Event| Event(DYNAMC_REPLACE)
2116568016||PotP_NotificationLine_Place| Place(DYNAMC_REPLACE) of Power
2116568017||PotP_NotificationLine_MoNes| Monster Nest(DYNAMC_REPLACE)
2116568018||PotP_NotificationLine_MoDen| Monster Den(DYNAMC_REPLACE)
2116568019||PotP_NotificationLine_Gwent| Gwent Card(DYNAMC_REPLACE)
2116568020||PotP_NotificationLine_SignP| Signpost(DYNAMC_REPLACE)
2116568021||PotP_NotificationLine_Camps| Bandit Camp(DYNAMC_REPLACE)
2116568022||PotP_NotificationLine_Relic| Relic(DYNAMC_REPLACE)
2116568023||PotP_NotificationLine_Quest_Mai1| Main Quest(DYNAMC_REPLACE)
2116568024||PotP_NotificationLine_Quest_Mai2| Main Quest(DYNAMC_REPLACE) (HOS)
2116568025||PotP_NotificationLine_Quest_Mai3| Main Quest(DYNAMC_REPLACE) (B&W)
2116568026||PotP_NotificationLine_Quest_Sid1| Side Quest(DYNAMC_REPLACE)
2116568027||PotP_NotificationLine_Quest_Sid2| Side Quest(DYNAMC_REPLACE) (HOS)
2116568028||PotP_NotificationLine_Quest_Sid3| Side Quest(DYNAMC_REPLACE) (B&W)
2116568029||PotP_NotificationLine_Quest_Tre1| Treasure Hunt(DYNAMC_REPLACE)
2116568030||PotP_NotificationLine_Quest_Tre2| Treasure Hunt(DYNAMC_REPLACE) (HOS)
2116568031||PotP_NotificationLine_Quest_Tre3| Treasure Hunt(DYNAMC_REPLACE) (B&W)
2116568032||PotP_NotificationLine_Quest_Con1| Monster Hunt Contract(DYNAMC_REPLACE)
2116568033||PotP_NotificationLine_Quest_Con2| Monster Hunt Contract(DYNAMC_REPLACE) (HOS)
2116568034||PotP_NotificationLine_Quest_Con3| Monster Hunt Contract(DYNAMC_REPLACE) (B&W)
2116568035||PotP_NotificationLine_Quest_Scav| Scavenger Hunt(DYNAMC_REPLACE)
2116568036||PotP_NotificationLine_GearSet| Gear Set Item(DYNAMC_REPLACE)
2116568037||PotP_NotificationLine_Updated|Updated: 
2116568038||PotP_NotificationLine_BanditC|Updated Bandit Camp: 
2116568039||PotP_NotificationLine_QuestUpdated|(QUESTNAME)
;
2116568040||PotP_QUESTCOMPLETE| (Complete)
2116568041||PotP_QUESTINPROGRESS| (In Progress)
2116568042||PotP_NotificationLine_Troph| Troph(DYNAMC_REPLACE_TROPHY)
