;meta[language=en]
; id      |key(hex)|key(str)| text
2116568000|4d5f8b0c||Mods
2116568001|dd4fefec||Progress on the Path
2116568002|d49a469c||Progress on the Path - Tutorials
2116568003|7d28b0e9||Progress on the Path - Previews
2116568004|ddc26e1a||Quest Progress
2116568005|d6b6996a||World Map Progress
2116568006|681839fc||Collectable Items Progress
2116568007|a74bd5f7||Missable Quest Progress
2116568008|72edb8a1||Gwent Card Progress
2116568009|00514e10||Thank you for installing Progress on the Path.<br/><br/>Please make sure to check the Glossary pages for helpful hints and tips about using the mod!
2116568010|c7e5cef0||Mod Updated To Version: 
2116568011|30071bc7||Completed:
2116568012|6b50fb1c||Nothing To Update...
2116568013|de08153c||Progress on the Path: 
2116568014|58bba806|| Quest(DYNAMC_REPLACE)
2116568015|581301be|| Event(DYNAMC_REPLACE)
2116568016|58a9682b|| Place(DYNAMC_REPLACE) of Power
2116568017|5880afde|| Monster Nest(DYNAMC_REPLACE)
2116568018|58808a4f|| Monster Den(DYNAMC_REPLACE)
2116568019|582fa51f|| Gwent Card(DYNAMC_REPLACE)
2116568020|58d26977|| Signpost(DYNAMC_REPLACE)
2116568021|57ed6536|| Bandit Camp(DYNAMC_REPLACE)
2116568022|58c29297|| Relic(DYNAMC_REPLACE)
2116568023|a1f82a15|| Main Quest(DYNAMC_REPLACE)
2116568024|a1f82a16|| Main Quest(DYNAMC_REPLACE) (HOS)
2116568025|a1f82a17|| Main Quest(DYNAMC_REPLACE) (B&W)
2116568026|a1fb01bc|| Side Quest(DYNAMC_REPLACE)
2116568027|a1fb01bd|| Side Quest(DYNAMC_REPLACE) (HOS)
2116568028|a1fb01be|| Side Quest(DYNAMC_REPLACE) (B&W)
2116568029|a1fb9803|| Treasure Hunt(DYNAMC_REPLACE)
2116568030|a1fb9804|| Treasure Hunt(DYNAMC_REPLACE) (HOS)
2116568031|a1fb9805|| Treasure Hunt(DYNAMC_REPLACE) (B&W)
2116568032|a1f3d388|| Monster Hunt Contract(DYNAMC_REPLACE)
2116568033|a1f3d389|| Monster Hunt Contract(DYNAMC_REPLACE) (HOS)
2116568034|a1f3d38a|| Monster Hunt Contract(DYNAMC_REPLACE) (B&W)
2116568035|a1faeb1e|| Scavenger Hunt(DYNAMC_REPLACE)
2116568036|ebed1a97|| Gear Set Item(DYNAMC_REPLACE)
2116568037|e36c36df||Updated: 
2116568038|dd4b4067||Updated Bandit Camp: 
2116568039|95a545f5||(QUESTNAME)
2116568040|a3654f97|| (Complete)
2116568041|2b6dd930|| (In Progress)
2116568042|58e4b68d|| Troph(DYNAMC_REPLACE_TROPHY)
2116568043|a0d29f68||ies
2116568044|a0d29f69||y
2116568045|032a8b15||s
2116568046|4bf7ed86||<font color="#479c9d">Perform A Full Update       :    When Meditating</font>
2116568047|df0f8f94||<font color="#479c9d">Perform A Full Update       :    Via Hotkey:</font> <font size="16"> (Default 'Numpad 5')</font>
2116568048|144932d3||<font color="#7FD8BE">Global Settings       :   Notification Font Size</font>
2116568049|1449a59f||<font color="#7FD8BE">Global Settings       :   Notification Display Time</font> <font size="16">(Freq in seconds)</font>
2116568050|14435f21||<font color="#7FD8BE">Global Settings       :   Notification Text Colour</font>
2116568051|22a207fc||<font color="#FF7D63">Main Update Notification       :   Include Quest Updates</font>
2116568052|21f961b4||<font color="#FF7D63">Main Update Notification       :   Include Random Event Updates</font>
2116568053|22160515||<font color="#FF7D63">Main Update Notification       :   Include Gwent Card Updates</font>
2116568054|2230d6da||<font color="#FF7D63">Main Update Notification       :   Include Item Updates</font>
2116568055|22f40aac||<font color="#FF7D63">Main Update Notification       :   Include Map Pin Updates</font>
2116568056|2277dae6||<font color="#FF7D63">Main Update Notification       :   Show Null Updates</font> <font size="16">(Nothing To Update...)</font>
2116568058|7256be9b||<br/><br/><br/><br/><br/><br/>Nothing to show<br/><br/>Check the active filters for this preview to show any incomplete entries
2116568059|459e97c6||<br/><br/><br/><br/><br/><br/>All entries complete for this preview
2116568060|fc14e3d2||~~ Quest Progress REPLACECOUNT ~~
2116568061|e0eb8682||~~ World Map Progress REPLACECOUNT ~~
2116568062|c39636b0||~~ Collectable Items Progress REPLACECOUNT ~~
2116568063|76858eeb||~~ Gwent Card Progress REPLACECOUNT ~~
2116568064|440b26ce||~~ Missable Quest Progress REPLACECOUNT ~~
2116568065|ceceee85||<font color="#7FD8BE">Global             :   Show Completed Entries</font>
2116568066|ced18ad5||<font color="#7FD8BE">Global             :   Show Ignored Entries</font>
2116568067|ced17e7a||<font color="#7FD8BE">Global             :   Show Entry UUID's</font>
2116568069|0c226cce||<font color="#8EA4C8">World Map     :   Filter By Region</font>
2116568070|78b2b359||All Regions
2116568071|78b2b35a||White Orchard
2116568072|78b2b35b||Velen
2116568073|78b2b35c||Novigrad
2116568074|78b2b35d||Skellige
2116568075|78b2b35e||Toussaint
2116568076|78b2b35f||Kaer Morhen
2116568077|dfa87709||<font color="#7FD8BE">Global             :   Hotkey Opens</font> <font size="16"> (Default 'Numpad 6')</font>
2116568078|5cae1f9d||Quest Progress
2116568079|5cae1f9e||World Map Progress
2116568080|5cae1f9f||Collectable Items Progress
2116568081|5cae1fa0||Gwent Card Progress
2116568082|5cae1fa1||Missable Quest Progress
2116568083|0bcddfc8||<font color="#C8566B">Quests             :   Filter By Region</font>
2116568084|3b4d4fd3||All Regions
2116568085|3b4d4fd4||White Orchard
2116568086|3b4d4fd5||Velen
2116568087|3b4d4fd6||Novigrad
2116568088|3b4d4fd7||Skellige
2116568089|3b4d4fd8||Toussaint
2116568090|3b4d4fd9||Kaer Morhen
2116568091|3b4d4fda||Vizima
